,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,show,projectrank_placing,trending,updated_github_id
0,best-of-ml-python,ml-tooling/best-of-ml-python,['python'],data-engineering,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36,2024-02-15 15:37:46,2024-02-15 15:37:45,463,25.0,2152,384,245,18.0,34.0,15075,2024-02-15 15:37:51,2024.02.15,100.0,A ranked list of awesome machine learning Python libraries. Updated weekly.,45,23,True,1,,
1,best-of-python,ml-tooling/best-of-python,['python'],programming-languages,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python,CC-BY-SA-4.0,2021-01-11 19:11:32,2024-02-15 14:03:54,2024-02-15 14:03:53,327,26.0,222,87,183,4.0,5.0,3310,2024-02-15 14:04:03,2024.02.15,100.0,A ranked list of awesome Python open-source libraries and tools. Updated weekly.,12,18,True,1,,
2,best-of-web-python,ml-tooling/best-of-web-python,['python'],web-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27,2024-02-15 16:50:07,2024-02-15 16:50:07,310,26.0,160,54,182,,3.0,2125,2024-02-15 16:50:12,2024.02.15,100.0,A ranked list of awesome python libraries for web development. Updated weekly.,14,18,True,1,2.0,
3,best-of-python-dev,ml-tooling/best-of-python-dev,['python'],dev-tools,https://github.com/ml-tooling/best-of-python-dev,https://github.com/ml-tooling/best-of-python-dev,CC-BY-SA-4.0,2021-01-08 14:46:24,2024-02-15 15:37:38,2024-02-15 15:37:37,307,26.0,42,25,179,1.0,5.0,874,2024-02-15 15:37:43,2024.02.15,100.0,A ranked list of awesome python developer tools and libraries. Updated weekly.,7,16,True,1,,
4,best-of-jupyter,ml-tooling/best-of-jupyter,['python'],data-engineering,https://github.com/ml-tooling/best-of-jupyter,https://github.com/ml-tooling/best-of-jupyter,CC-BY-SA-4.0,2021-01-01 22:25:48,2024-02-15 15:37:29,2024-02-15 15:37:28,313,29.0,70,24,183,1.0,3.0,794,2024-02-15 15:37:34,2024.02.15,100.0,"A ranked list of awesome Jupyter Notebook, Hub and Lab projects (extensions, kernels, tools). Updated weekly.",13,16,True,2,,
5,best-of-mkdocs,pawamoy/best-of-mkdocs,,documentation,https://github.com/mkdocs/catalog,https://github.com/mkdocs/catalog,CC-BY-SA-4.0,2022-04-17 07:48:22,2024-02-08 18:51:33,2024-02-08 18:51:33,254,24.0,37,13,171,5.0,13.0,692,2023-06-29 18:48:34,2023.06.29,68.0,A list of awesome MkDocs projects and plugins.,24,15,True,1,5.0,mkdocs/catalog
6,best-of-crypto,lukasmasuch/best-of-crypto,,blockchain,https://github.com/LukasMasuch/best-of-crypto,https://github.com/LukasMasuch/best-of-crypto,CC-BY-SA-4.0,2022-01-08 21:25:33,2024-02-14 23:33:45,2024-02-14 23:33:44,250,22.0,37,14,123,3.0,,183,2024-02-14 23:33:52,2024.02.14,99.0,A ranked list of awesome open-source crypto projects. Updated weekly.,5,15,True,1,3.0,
7,best-of-react,lukasmasuch/best-of-react,['javascript'],web-dev,https://github.com/LukasMasuch/best-of-react,https://github.com/LukasMasuch/best-of-react,CC-BY-SA-4.0,2021-02-21 12:52:27,2024-02-15 15:47:04,2024-02-15 15:47:04,342,26.0,55,11,167,1.0,1.0,566,2024-02-15 15:47:10,2024.02.15,100.0,A ranked list of awesome React open-source libraries and tools. Updated weekly.,6,14,True,3,-1.0,
8,best-of-ml-rust,e-tornike/best-of-ml-rust,,data-engineering,https://github.com/e-tornike/best-of-ml-rust,https://github.com/e-tornike/best-of-ml-rust,CC-BY-SA-4.0,2021-02-09 10:37:33,2024-02-15 12:24:19,2024-02-15 12:24:19,166,10.0,3,10,112,,,211,2024-02-01 09:30:50,2024.02.01,27.0,A ranked list of awesome machine learning Rust libraries.,2,13,True,3,6.0,
9,best-of-streamlit,jrieke/best-of-streamlit,['python'],data-engineering,https://github.com/jrieke/best-of-streamlit,https://github.com/jrieke/best-of-streamlit,CC-BY-SA-4.0,2021-01-09 00:40:46,2024-02-12 12:06:01,2021-05-03 18:03:14,111,,111,17,125,9.0,4.0,852,2021-05-03 17:59:01,2021.05.03-17.47,8.0,A ranked gallery of awesome streamlit apps built by the community.,4,12,False,3,,
10,best-of-digital-gardens,lyz-code/best-of-digital-gardens,,documentation,https://github.com/lyz-code/best-of-digital-gardens,https://github.com/lyz-code/best-of-digital-gardens,CC-BY-SA-4.0,2022-04-21 16:32:43,2024-02-14 18:24:52,2024-02-14 18:24:51,758,89.0,15,6,22,,2.0,279,,,,Ranked list of awesome digital gardens / second brains.,14,12,True,3,3.0,
11,thumbor/awesome-thumbor,thumbor/awesome-thumbor,,others,https://github.com/thumbor/awesome-thumbor,https://github.com/thumbor/awesome-thumbor,CC-BY-SA-4.0,2022-01-23 23:37:02,2024-02-14 21:08:51,2024-02-14 20:14:51,670,89.0,4,5,764,,,40,2022-01-23 23:40:03,2022.01.23,1.0,"Everything thumbor, awesomely curated & updated weekly.",4,12,True,1,,
12,best-of-ml-julia,e-tornike/best-of-ml-julia,,data-engineering,https://github.com/e-tornike/best-of-ml-julia,https://github.com/e-tornike/best-of-ml-julia,CC-BY-SA-4.0,2021-02-09 10:50:31,2021-11-15 12:28:02,2021-09-16 07:59:38,44,,2,2,38,,,13,2021-05-10 14:35:56,2021.05.10,3.0,A ranked list of awesome machine learning Julia libraries.,2,5,False,3,,
