,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,show,projectrank_placing,trending,updated_github_id
0,best-of-ml-python,ml-tooling/best-of-ml-python,['python'],data-engineering,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36,2023-11-23 16:10:26,2023-11-23 16:10:25,440,28.0,2099,382,233,17.0,33.0,14659,2023-11-23 16:10:31,2023.11.23,100.0,A ranked list of awesome machine learning Python libraries. Updated weekly.,44,24,True,1,,
1,best-of-python,ml-tooling/best-of-python,['python'],programming-languages,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python,CC-BY-SA-4.0,2021-01-11 19:11:32,2023-11-23 16:09:47,2023-11-23 16:09:47,303,27.0,222,87,171,4.0,4.0,3234,2023-11-23 16:09:52,2023.11.23,100.0,A ranked list of awesome Python open-source libraries and tools. Updated weekly.,12,19,True,1,,
2,best-of-web-python,ml-tooling/best-of-web-python,['python'],web-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27,2023-11-23 16:36:43,2023-11-16 18:15:10,284,23.0,153,52,171,1.0,2.0,2066,2023-11-16 18:15:16,2023.11.16,100.0,A ranked list of awesome python libraries for web development. Updated weekly.,13,18,True,1,,
3,best-of-python-dev,ml-tooling/best-of-python-dev,['python'],dev-tools,https://github.com/ml-tooling/best-of-python-dev,https://github.com/ml-tooling/best-of-python-dev,CC-BY-SA-4.0,2021-01-08 14:46:24,2023-11-23 16:10:06,2023-11-23 16:10:05,283,24.0,40,24,167,1.0,5.0,839,2023-11-23 16:10:18,2023.11.23,100.0,A ranked list of awesome python developer tools and libraries. Updated weekly.,7,17,True,1,,
4,best-of-jupyter,ml-tooling/best-of-jupyter,['python'],data-engineering,https://github.com/ml-tooling/best-of-jupyter,https://github.com/ml-tooling/best-of-jupyter,CC-BY-SA-4.0,2021-01-01 22:25:48,2023-11-23 16:09:56,2023-11-23 16:09:55,286,28.0,69,25,169,1.0,3.0,752,2023-11-23 16:10:00,2023.11.23,100.0,"A ranked list of awesome Jupyter Notebook, Hub and Lab projects (extensions, kernels, tools). Updated weekly.",13,17,True,2,3.0,
5,best-of-crypto,lukasmasuch/best-of-crypto,,blockchain,https://github.com/LukasMasuch/best-of-crypto,https://github.com/LukasMasuch/best-of-crypto,CC-BY-SA-4.0,2022-01-08 21:25:33,2023-11-22 22:58:43,2023-11-22 22:58:43,230,25.0,32,15,111,3.0,,157,2023-11-22 22:58:49,2023.11.22,89.0,A ranked list of awesome open-source crypto projects. Updated weekly.,5,16,True,1,4.0,
6,best-of-mkdocs,pawamoy/best-of-mkdocs,,documentation,https://github.com/mkdocs/catalog,https://github.com/mkdocs/catalog,CC-BY-SA-4.0,2022-04-17 07:48:22,2023-11-18 14:47:39,2023-11-18 14:47:38,231,33.0,31,11,145,5.0,11.0,545,2023-06-29 18:48:34,2023.06.29,68.0,A list of awesome MkDocs projects and plugins.,19,15,True,1,5.0,mkdocs/catalog
7,best-of-react,lukasmasuch/best-of-react,['javascript'],web-dev,https://github.com/LukasMasuch/best-of-react,https://github.com/LukasMasuch/best-of-react,CC-BY-SA-4.0,2021-02-21 12:52:27,2023-11-23 16:10:35,2023-11-23 16:10:34,318,26.0,50,12,155,1.0,1.0,523,2023-11-23 16:10:41,2023.11.23,100.0,A ranked list of awesome React open-source libraries and tools. Updated weekly.,6,15,True,3,,
8,best-of-streamlit,jrieke/best-of-streamlit,['python'],data-engineering,https://github.com/jrieke/best-of-streamlit,https://github.com/jrieke/best-of-streamlit,CC-BY-SA-4.0,2021-01-09 00:40:46,2023-11-20 12:05:40,2021-05-03 18:03:14,111,,104,15,112,9.0,4.0,775,2021-05-03 17:59:01,2021.05.03-17.47,8.0,A ranked gallery of awesome streamlit apps built by the community.,4,12,False,3,,
9,best-of-digital-gardens,lyz-code/best-of-digital-gardens,,documentation,https://github.com/lyz-code/best-of-digital-gardens,https://github.com/lyz-code/best-of-digital-gardens,CC-BY-SA-4.0,2022-04-21 16:32:43,2023-11-22 18:25:10,2023-11-22 18:25:09,674,89.0,14,7,22,,2.0,245,,,,Ranked list of awesome digital gardens / second brains.,14,12,True,3,3.0,
10,best-of-ml-rust,e-tornike/best-of-ml-rust,,data-engineering,https://github.com/e-tornike/best-of-ml-rust,https://github.com/e-tornike/best-of-ml-rust,CC-BY-SA-4.0,2021-02-09 10:37:33,2023-11-01 09:19:05,2023-08-08 15:01:12,156,,3,10,109,,,187,2023-08-07 11:50:42,2023.08.01,26.0,A ranked list of awesome machine learning Rust libraries.,2,12,True,3,5.0,
11,thumbor/awesome-thumbor,thumbor/awesome-thumbor,,others,https://github.com/thumbor/awesome-thumbor,https://github.com/thumbor/awesome-thumbor,CC-BY-SA-4.0,2022-01-23 23:37:02,2023-11-22 22:53:07,2023-11-22 20:17:29,586,89.0,4,5,680,,,38,2022-01-23 23:40:03,2022.01.23,1.0,"Everything thumbor, awesomely curated & updated weekly.",4,12,True,1,,
12,best-of-ml-julia,e-tornike/best-of-ml-julia,,data-engineering,https://github.com/e-tornike/best-of-ml-julia,https://github.com/e-tornike/best-of-ml-julia,CC-BY-SA-4.0,2021-02-09 10:50:31,2021-11-15 12:28:02,2021-09-16 07:59:38,44,,2,2,38,,,11,2021-05-10 14:35:56,2021.05.10,3.0,A ranked list of awesome machine learning Julia libraries.,2,5,False,3,,
