,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,show,projectrank_placing,updated_github_id,trending
0,best-of-ml-python,ml-tooling/best-of-ml-python,['python'],data-engineering,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36,2023-10-05 17:09:25,2023-10-05 17:09:24,428,32.0,2079,381,226,15.0,33.0,14502,2023-10-05 17:09:30,2023.10.05,100.0,A ranked list of awesome machine learning Python libraries. Updated weekly.,44,23,True,1,,
1,best-of-python,ml-tooling/best-of-python,['python'],programming-languages,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python,CC-BY-SA-4.0,2021-01-11 19:11:32,2023-10-05 14:46:01,2023-10-05 14:46:01,288,27.0,218,87,163,4.0,4.0,3165,2023-10-05 14:46:08,2023.10.05,100.0,A ranked list of awesome Python open-source libraries and tools. Updated weekly.,11,18,True,1,,
2,best-of-web-python,ml-tooling/best-of-web-python,['python'],web-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27,2023-10-05 17:09:42,2023-10-05 17:09:41,271,24.0,150,51,162,1.0,2.0,2022,2023-10-05 17:09:45,2023.10.05,100.0,A ranked list of awesome python libraries for web development. Updated weekly.,12,17,True,1,,
3,best-of-python-dev,ml-tooling/best-of-python-dev,['python'],dev-tools,https://github.com/ml-tooling/best-of-python-dev,https://github.com/ml-tooling/best-of-python-dev,CC-BY-SA-4.0,2021-01-08 14:46:24,2023-10-05 15:34:05,2023-10-05 15:34:04,271,26.0,39,24,160,1.0,5.0,806,2023-10-05 15:34:12,2023.10.05,100.0,A ranked list of awesome python developer tools and libraries. Updated weekly.,7,16,True,1,,
4,best-of-jupyter,ml-tooling/best-of-jupyter,['python'],data-engineering,https://github.com/ml-tooling/best-of-jupyter,https://github.com/ml-tooling/best-of-jupyter,CC-BY-SA-4.0,2021-01-01 22:25:48,2023-10-05 15:37:41,2023-10-05 15:37:40,271,27.0,68,24,161,,2.0,730,2023-10-05 15:37:50,2023.10.05,100.0,"A ranked list of awesome Jupyter Notebook, Hub and Lab projects (extensions, kernels, tools). Updated weekly.",12,15,True,2,,
5,best-of-mkdocs,pawamoy/best-of-mkdocs,,documentation,https://github.com/mkdocs/catalog,https://github.com/mkdocs/catalog,CC-BY-SA-4.0,2022-04-17 07:48:22,2023-09-30 11:51:07,2023-09-30 11:51:06,211,29.0,25,11,125,4.0,11.0,454,2023-06-29 18:48:34,2023.06.29,68.0,A list of awesome MkDocs projects and plugins.,17,15,True,1,mkdocs/catalog,5.0
6,best-of-react,lukasmasuch/best-of-react,['javascript'],web-dev,https://github.com/LukasMasuch/best-of-react,https://github.com/LukasMasuch/best-of-react,CC-BY-SA-4.0,2021-02-21 12:52:27,2023-10-05 15:41:48,2023-10-05 15:41:47,304,26.0,45,11,148,,1.0,503,2023-10-05 15:41:53,2023.10.05,100.0,A ranked list of awesome React open-source libraries and tools. Updated weekly.,6,14,True,3,,-1.0
7,best-of-crypto,lukasmasuch/best-of-crypto,,blockchain,https://github.com/LukasMasuch/best-of-crypto,https://github.com/LukasMasuch/best-of-crypto,CC-BY-SA-4.0,2022-01-08 21:25:33,2023-10-04 22:59:34,2023-10-04 22:59:33,217,26.0,27,13,103,3.0,,142,2023-10-04 22:59:41,2023.10.04,82.0,A ranked list of awesome open-source crypto projects. Updated weekly.,4,14,True,1,,2.0
8,best-of-streamlit,jrieke/best-of-streamlit,['python'],data-engineering,https://github.com/jrieke/best-of-streamlit,https://github.com/jrieke/best-of-streamlit,CC-BY-SA-4.0,2021-01-09 00:40:46,2023-10-02 12:05:49,2021-05-03 18:03:14,111,,100,14,105,9.0,4.0,742,2021-05-03 17:59:01,2021.05.03-17.47,8.0,A ranked gallery of awesome streamlit apps built by the community.,4,12,False,3,,
9,best-of-digital-gardens,lyz-code/best-of-digital-gardens,,documentation,https://github.com/lyz-code/best-of-digital-gardens,https://github.com/lyz-code/best-of-digital-gardens,CC-BY-SA-4.0,2022-04-21 16:32:43,2023-10-04 18:25:45,2023-10-04 18:25:45,625,89.0,14,5,22,,2.0,222,,,,Ranked list of awesome digital gardens / second brains.,14,12,True,3,,3.0
