,name,github_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,show,projectrank_placing,updated_github_id,trending
0,best-of-ml-python,ml-tooling/best-of-ml-python,['python'],data-engineering,https://github.com/ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python,CC-BY-SA-4.0,2020-11-29 19:41:36,2023-08-03 15:03:59,2023-08-03 15:03:58,404,31.0,2029,377,211,16.0,31.0,14108,2023-07-27 15:15:19,2023.07.27,100.0,A ranked list of awesome machine learning Python libraries. Updated weekly.,39,23,True,1,,
1,best-of-python,ml-tooling/best-of-python,['python'],programming-languages,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python,CC-BY-SA-4.0,2021-01-11 19:11:32,2023-08-03 13:39:50,2023-08-03 13:39:50,269,26.0,214,88,153,4.0,4.0,3078,2023-08-03 13:39:56,2023.08.03,100.0,A ranked list of awesome Python open-source libraries and tools. Updated weekly.,10,18,True,1,,
2,best-of-web-python,ml-tooling/best-of-web-python,['python'],web-dev,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python,CC-BY-SA-4.0,2021-01-05 13:09:27,2023-08-03 17:01:54,2023-08-03 17:01:53,255,28.0,150,51,153,1.0,2.0,1966,2023-08-03 17:02:00,2023.08.03,100.0,A ranked list of awesome python libraries for web development. Updated weekly.,12,17,True,1,,
3,best-of-python-dev,ml-tooling/best-of-python-dev,['python'],dev-tools,https://github.com/ml-tooling/best-of-python-dev,https://github.com/ml-tooling/best-of-python-dev,CC-BY-SA-4.0,2021-01-08 14:46:24,2023-08-03 15:03:30,2023-08-03 15:03:29,253,28.0,39,24,151,1.0,5.0,759,2023-08-03 15:03:41,2023.08.03,99.0,A ranked list of awesome python developer tools and libraries. Updated weekly.,7,16,True,1,,
4,best-of-jupyter,ml-tooling/best-of-jupyter,['python'],data-engineering,https://github.com/ml-tooling/best-of-jupyter,https://github.com/ml-tooling/best-of-jupyter,CC-BY-SA-4.0,2021-01-01 22:25:48,2023-08-03 15:03:15,2023-08-03 15:03:14,252,26.0,65,23,151,,2.0,699,2023-08-03 15:03:20,2023.08.03,100.0,"A ranked list of awesome Jupyter Notebook, Hub and Lab projects (extensions, kernels, tools). Updated weekly.",11,15,True,2,,
5,best-of-react,lukasmasuch/best-of-react,['javascript'],web-dev,https://github.com/LukasMasuch/best-of-react,https://github.com/LukasMasuch/best-of-react,CC-BY-SA-4.0,2021-02-21 12:52:27,2023-08-03 15:36:03,2023-08-03 15:36:02,286,25.0,43,10,139,1.0,,475,2023-08-03 15:36:08,2023.08.03,100.0,A ranked list of awesome React open-source libraries and tools. Updated weekly.,6,15,True,3,,
6,best-of-mkdocs,pawamoy/best-of-mkdocs,,documentation,https://github.com/mkdocs/catalog,https://github.com/mkdocs/catalog,CC-BY-SA-4.0,2022-04-17 07:48:22,2023-08-02 10:11:02,2023-08-02 10:11:01,191,30.0,17,11,106,2.0,6.0,380,2023-06-29 18:48:34,2023.06.29,68.0,A list of awesome MkDocs projects and plugins.,11,14,True,1,mkdocs/catalog,4.0
7,best-of-crypto,lukasmasuch/best-of-crypto,,blockchain,https://github.com/LukasMasuch/best-of-crypto,https://github.com/LukasMasuch/best-of-crypto,CC-BY-SA-4.0,2022-01-08 21:25:33,2023-08-02 21:49:12,2023-08-02 21:49:12,199,23.0,24,11,94,3.0,,131,2023-08-02 21:49:19,2023.08.02,73.0,A ranked list of awesome open-source crypto projects. Updated weekly.,4,14,True,1,,2.0
8,best-of-streamlit,jrieke/best-of-streamlit,['python'],data-engineering,https://github.com/jrieke/best-of-streamlit,https://github.com/jrieke/best-of-streamlit,CC-BY-SA-4.0,2021-01-09 00:40:46,2023-07-31 12:06:16,2021-05-03 18:03:14,111,,94,13,96,8.0,4.0,701,2021-05-03 17:59:01,2021.05.03-17.47,8.0,A ranked gallery of awesome streamlit apps built by the community.,4,12,False,3,,
9,best-of-digital-gardens,lyz-code/best-of-digital-gardens,,documentation,https://github.com/lyz-code/best-of-digital-gardens,https://github.com/lyz-code/best-of-digital-gardens,CC-BY-SA-4.0,2022-04-21 16:32:43,2023-08-02 18:23:03,2023-08-02 18:23:03,562,88.0,14,4,22,,2.0,194,,,,Ranked list of awesome digital gardens / second brains.,14,12,True,3,,3.0
